question_id,Answer,Confidence,raw,error,photo,within_lbs,true_weight,participant
wgd_206_10,170.0,0.32,"{""Answer"": ""170"", ""Confidence"": ""0.32""}",,206.jpg,10,165.0,R_3WwqhhUiJ6xf0gT
wgd_209_05,125.0,0.26,"{""Answer"": ""125"", ""Confidence"": ""0.26""}",,209.jpg,5,136.0,R_3WwqhhUiJ6xf0gT
wgd_210_01,165.0,0.11,"{""Answer"": ""165"", ""Confidence"": ""0.11""}",,210.jpg,1,167.0,R_3WwqhhUiJ6xf0gT
wgd_212_20,135.0,0.2,"{""Answer"": ""135"", ""Confidence"": ""0.2""}",,212.jpg,20,147.0,R_3WwqhhUiJ6xf0gT
wgd_213_20,165.0,0.52,"{""Answer"": ""165"", ""Confidence"": ""0.52""}",,213.jpg,20,174.0,R_3WwqhhUiJ6xf0gT
wgd_218_05,180.0,0.13,"{""Answer"": ""180"", ""Confidence"": ""0.13""}",,218.jpg,5,165.0,R_3WwqhhUiJ6xf0gT
wgd_220_10,150.0,0.28,"{""Answer"": ""150"", ""Confidence"": ""0.28""}",,220.jpg,10,149.0,R_3WwqhhUiJ6xf0gT
wgd_222_01,140.0,0.14,"{""Answer"": ""140"", ""Confidence"": ""0.14""}",,222.jpg,1,115.0,R_3WwqhhUiJ6xf0gT
wgd_224_20,115.0,0.69,"{""Answer"": ""115"", ""Confidence"": ""0.69""}",,224.jpg,20,106.0,R_3WwqhhUiJ6xf0gT
wgd_228_10,120.0,0.41,"{""Answer"": ""120"", ""Confidence"": ""0.41""}",,228.jpg,10,135.0,R_3WwqhhUiJ6xf0gT
wgd_233_01,175.0,0.08,"{""Answer"": ""175"", ""Confidence"": ""0.08""}",,233.jpg,1,180.0,R_3WwqhhUiJ6xf0gT
wgd_235_05,140.0,0.13,"{""Answer"": ""140"", ""Confidence"": ""0.13""}",,235.jpg,5,134.0,R_3WwqhhUiJ6xf0gT
wgd_236_20,110.0,0.83,"{""Answer"": ""110"", ""Confidence"": ""0.83""}",,236.jpg,20,117.0,R_3WwqhhUiJ6xf0gT
wgd_237_10,140.0,0.27,"{""Answer"": ""140"", ""Confidence"": ""0.27""}",,237.jpg,10,170.0,R_3WwqhhUiJ6xf0gT
wgd_239_20,115.0,0.71,"{""Answer"": ""115"", ""Confidence"": ""0.71""}",,239.jpg,20,117.0,R_3WwqhhUiJ6xf0gT
wgd_241_01,160.0,0.07,"{""Answer"": ""160"", ""Confidence"": ""0.07""}",,241.jpg,1,150.0,R_3WwqhhUiJ6xf0gT
wgd_246_05,120.0,0.3,"{""Answer"": ""120"", ""Confidence"": ""0.3""}",,246.jpg,5,117.0,R_3WwqhhUiJ6xf0gT
wgd_250_05,170.0,0.04,"{""Answer"": ""170"", ""Confidence"": ""0.04""}",,250.jpg,5,171.0,R_3WwqhhUiJ6xf0gT
wgd_205_05,121.0,0.18,"{""Answer"": ""121"", ""Confidence"": ""0.18""}",,205.jpg,5,104.0,R_7diNcUZz4lp9W32
wgd_206_10,147.0,0.71,"{""Answer"": ""147"", ""Confidence"": ""0.71""}",,206.jpg,10,165.0,R_7diNcUZz4lp9W32
wgd_208_10,142.0,0.62,"{""Answer"": ""142"", ""Confidence"": ""0.62""}",,208.jpg,10,139.0,R_7diNcUZz4lp9W32
wgd_211_01,148.0,0.08,"{""Answer"": ""148"", ""Confidence"": ""0.08""}",,211.jpg,1,146.0,R_7diNcUZz4lp9W32
wgd_213_10,151.0,0.51,"{""Answer"": ""151"", ""Confidence"": ""0.51""}",,213.jpg,10,174.0,R_7diNcUZz4lp9W32
wgd_214_20,168.0,0.91,"{""Answer"": ""168"", ""Confidence"": ""0.91""}",,214.jpg,20,187.0,R_7diNcUZz4lp9W32
wgd_215_05,135.0,0.68,"{""Answer"": ""135"", ""Confidence"": ""0.68""}",,215.jpg,5,154.0,R_7diNcUZz4lp9W32
wgd_217_20,112.0,0.87,"{""Answer"": ""112"", ""Confidence"": ""0.87""}",,217.jpg,20,116.0,R_7diNcUZz4lp9W32
wgd_223_01,168.0,0.05,"{""Answer"": ""168"", ""Confidence"": ""0.05""}",,223.jpg,1,183.0,R_7diNcUZz4lp9W32
wgd_226_05,116.0,0.19,"{""Answer"": ""116"", ""Confidence"": ""0.19""}",,226.jpg,5,140.0,R_7diNcUZz4lp9W32
wgd_228_20,110.0,0.81,"{""Answer"": ""110"", ""Confidence"": ""0.81""}",,228.jpg,20,135.0,R_7diNcUZz4lp9W32
wgd_229_20,98.0,0.94,"{""Answer"": ""98"", ""Confidence"": ""0.94""}",,229.jpg,20,127.0,R_7diNcUZz4lp9W32
wgd_231_10,162.0,0.61,"{""Answer"": ""162"", ""Confidence"": ""0.61""}",,231.jpg,10,145.0,R_7diNcUZz4lp9W32
wgd_232_20,137.0,0.81,"{""Answer"": ""137"", ""Confidence"": ""0.81""}",,232.jpg,20,190.0,R_7diNcUZz4lp9W32
wgd_233_10,158.0,0.74,"{""Answer"": ""158"", ""Confidence"": ""0.74""}",,233.jpg,10,180.0,R_7diNcUZz4lp9W32
wgd_234_01,114.0,0.15,"{""Answer"": ""114"", ""Confidence"": ""0.15""}",,234.jpg,1,138.0,R_7diNcUZz4lp9W32
wgd_236_05,120.0,0.5,"{""Answer"": ""120"", ""Confidence"": ""0.5""}",,236.jpg,5,117.0,R_7diNcUZz4lp9W32
wgd_241_05,162.0,0.5,"{""Answer"": ""162"", ""Confidence"": ""0.5""}",,241.jpg,5,150.0,R_7diNcUZz4lp9W32
wgd_246_01,123.0,0.04,"{""Answer"": ""123"", ""Confidence"": ""0.04""}",,246.jpg,1,117.0,R_7diNcUZz4lp9W32
wgd_248_01,119.0,0.04,"{""Answer"": ""119"", ""Confidence"": ""0.04""}",,248.jpg,1,121.0,R_7diNcUZz4lp9W32
wgd_200_20,187.0,0.86,"{""Answer"": ""187"", ""Confidence"": ""0.86""}",,200.jpg,20,214.0,R_5Ie6xBM3IDPO9Wx
wgd_202_05,139.0,0.54,"{""Answer"": ""139"", ""Confidence"": ""0.54""}",,202.jpg,5,135.0,R_5Ie6xBM3IDPO9Wx
wgd_209_05,141.0,0.62,"{""Answer"": ""141"", ""Confidence"": ""0.62""}",,209.jpg,5,136.0,R_5Ie6xBM3IDPO9Wx
wgd_210_10,165.0,0.61,"{""Answer"": ""165"", ""Confidence"": ""0.61""}",,210.jpg,10,167.0,R_5Ie6xBM3IDPO9Wx
wgd_215_05,142.0,0.55,"{""Answer"": ""142"", ""Confidence"": ""0.55""}",,215.jpg,5,154.0,R_5Ie6xBM3IDPO9Wx
wgd_216_20,164.0,0.85,"{""Answer"": ""164"", ""Confidence"": ""0.85""}",,216.jpg,20,180.0,R_5Ie6xBM3IDPO9Wx
wgd_218_01,170.0,0.1,"{""Answer"": ""170"", ""Confidence"": ""0.1""}",,218.jpg,1,165.0,R_5Ie6xBM3IDPO9Wx
wgd_224_01,111.0,0.02,"{""Answer"": ""111"", ""Confidence"": ""0.02""}",,224.jpg,1,106.0,R_5Ie6xBM3IDPO9Wx
wgd_227_01,170.0,0.0,"{""Answer"": ""170"", ""Confidence"": ""0.0""}",,227.jpg,1,180.0,R_5Ie6xBM3IDPO9Wx
wgd_228_20,125.0,0.83,"{""Answer"": ""125"", ""Confidence"": ""0.83""}",,228.jpg,20,135.0,R_5Ie6xBM3IDPO9Wx
wgd_229_10,119.0,0.79,"{""Answer"": ""119"", ""Confidence"": ""0.79""}",,229.jpg,10,127.0,R_5Ie6xBM3IDPO9Wx
wgd_230_10,110.0,0.86,"{""Answer"": ""110"", ""Confidence"": ""0.86""}",,230.jpg,10,105.0,R_5Ie6xBM3IDPO9Wx
wgd_231_01,181.0,0.0,"{""Answer"": ""181"", ""Confidence"": ""0.0""}",,231.jpg,1,145.0,R_5Ie6xBM3IDPO9Wx
wgd_235_10,124.0,0.55,"{""Answer"": ""124"", ""Confidence"": ""0.55""}",,235.jpg,10,134.0,R_5Ie6xBM3IDPO9Wx
wgd_236_10,121.0,0.76,"{""Answer"": ""121"", ""Confidence"": ""0.76""}",,236.jpg,10,117.0,R_5Ie6xBM3IDPO9Wx
wgd_241_20,167.0,0.76,"{""Answer"": ""167"", ""Confidence"": ""0.76""}",,241.jpg,20,150.0,R_5Ie6xBM3IDPO9Wx
wgd_242_05,146.0,0.55,"{""Answer"": ""146"", ""Confidence"": ""0.55""}",,242.jpg,5,171.0,R_5Ie6xBM3IDPO9Wx
wgd_244_05,158.0,0.5,"{""Answer"": ""158"", ""Confidence"": ""0.5""}",,244.jpg,5,161.0,R_5Ie6xBM3IDPO9Wx
wgd_246_20,125.0,0.94,"{""Answer"": ""125"", ""Confidence"": ""0.94""}",,246.jpg,20,117.0,R_5Ie6xBM3IDPO9Wx
wgd_247_01,136.0,0.19,"{""Answer"": ""136"", ""Confidence"": ""0.19""}",,247.jpg,1,157.0,R_5Ie6xBM3IDPO9Wx
wgd_202_01,125.0,0.04,"{""Answer"": ""125"", ""Confidence"": ""0.04""}",,202.jpg,1,135.0,R_7EsBsBqZbUeRX2K
wgd_204_10,135.0,0.78,"{""Answer"": ""135"", ""Confidence"": ""0.78""}",,204.jpg,10,138.0,R_7EsBsBqZbUeRX2K
wgd_206_05,135.0,0.5,"{""Answer"": ""135"", ""Confidence"": ""0.5""}",,206.jpg,5,165.0,R_7EsBsBqZbUeRX2K
wgd_208_10,150.0,0.83,"{""Answer"": ""150"", ""Confidence"": ""0.83""}",,208.jpg,10,139.0,R_7EsBsBqZbUeRX2K
wgd_209_01,135.0,0.04,"{""Answer"": ""135"", ""Confidence"": ""0.04""}",,209.jpg,1,136.0,R_7EsBsBqZbUeRX2K
wgd_210_20,145.0,0.9,"{""Answer"": ""145"", ""Confidence"": ""0.9""}",,210.jpg,20,167.0,R_7EsBsBqZbUeRX2K
wgd_215_10,110.0,0.7,"{""Answer"": ""110"", ""Confidence"": ""0.7""}",,215.jpg,10,154.0,R_7EsBsBqZbUeRX2K
wgd_217_05,95.0,0.71,"{""Answer"": ""95"", ""Confidence"": ""0.71""}",,217.jpg,5,116.0,R_7EsBsBqZbUeRX2K
wgd_219_05,130.0,0.55,"{""Answer"": ""130"", ""Confidence"": ""0.55""}",,219.jpg,5,123.0,R_7EsBsBqZbUeRX2K
wgd_220_01,140.0,0.02,"{""Answer"": ""140"", ""Confidence"": ""0.02""}",,220.jpg,1,149.0,R_7EsBsBqZbUeRX2K
wgd_221_10,110.0,0.77,"{""Answer"": ""110"", ""Confidence"": ""0.77""}",,221.jpg,10,112.0,R_7EsBsBqZbUeRX2K
wgd_226_10,125.0,0.8,"{""Answer"": ""125"", ""Confidence"": ""0.8""}",,226.jpg,10,140.0,R_7EsBsBqZbUeRX2K
wgd_227_05,155.0,0.4,"{""Answer"": ""155"", ""Confidence"": ""0.4""}",,227.jpg,5,180.0,R_7EsBsBqZbUeRX2K
wgd_229_05,115.0,0.61,"{""Answer"": ""115"", ""Confidence"": ""0.61""}",,229.jpg,5,127.0,R_7EsBsBqZbUeRX2K
wgd_234_01,105.0,0.05,"{""Answer"": ""105"", ""Confidence"": ""0.05""}",,234.jpg,1,138.0,R_7EsBsBqZbUeRX2K
wgd_236_20,100.0,0.97,"{""Answer"": ""100"", ""Confidence"": ""0.97""}",,236.jpg,20,117.0,R_7EsBsBqZbUeRX2K
wgd_242_20,160.0,0.94,"{""Answer"": ""160"", ""Confidence"": ""0.94""}",,242.jpg,20,171.0,R_7EsBsBqZbUeRX2K
wgd_244_20,160.0,0.85,"{""Answer"": ""160"", ""Confidence"": ""0.85""}",,244.jpg,20,161.0,R_7EsBsBqZbUeRX2K
wgd_246_01,120.0,0.03,"{""Answer"": ""120"", ""Confidence"": ""0.03""}",,246.jpg,1,117.0,R_7EsBsBqZbUeRX2K
wgd_247_20,130.0,0.91,"{""Answer"": ""130"", ""Confidence"": ""0.91""}",,247.jpg,20,157.0,R_7EsBsBqZbUeRX2K
wgd_201_01,135.0,0.05,"{""Answer"": ""135"", ""Confidence"": ""0.05""}",,201.jpg,1,158.0,R_15tPwJSeCqh1545
wgd_202_20,125.0,0.75,"{""Answer"": ""125"", ""Confidence"": ""0.75""}",,202.jpg,20,135.0,R_15tPwJSeCqh1545
wgd_203_10,125.0,0.65,"{""Answer"": ""125"", ""Confidence"": ""0.65""}",,203.jpg,10,128.0,R_15tPwJSeCqh1545
wgd_211_01,160.0,0.05,"{""Answer"": ""160"", ""Confidence"": ""0.05""}",,211.jpg,1,146.0,R_15tPwJSeCqh1545
wgd_213_20,180.0,0.65,"{""Answer"": ""180"", ""Confidence"": ""0.65""}",,213.jpg,20,174.0,R_15tPwJSeCqh1545
wgd_216_05,210.0,0.15,"{""Answer"": ""210"", ""Confidence"": ""0.15""}",,216.jpg,5,180.0,R_15tPwJSeCqh1545
wgd_219_05,160.0,0.3,"{""Answer"": ""160"", ""Confidence"": ""0.3""}",,219.jpg,5,123.0,R_15tPwJSeCqh1545
wgd_220_20,165.0,0.7,"{""Answer"": ""165"", ""Confidence"": ""0.7""}",,220.jpg,20,149.0,R_15tPwJSeCqh1545
wgd_221_20,120.0,0.75,"{""Answer"": ""120"", ""Confidence"": ""0.75""}",,221.jpg,20,112.0,R_15tPwJSeCqh1545
wgd_223_10,180.0,0.5,"{""Answer"": ""180"", ""Confidence"": ""0.5""}",,223.jpg,10,183.0,R_15tPwJSeCqh1545
wgd_226_10,130.0,0.6,"{""Answer"": ""130"", ""Confidence"": ""0.6""}",,226.jpg,10,140.0,R_15tPwJSeCqh1545
wgd_227_05,160.0,0.25,"{""Answer"": ""160"", ""Confidence"": ""0.25""}",,227.jpg,5,180.0,R_15tPwJSeCqh1545
wgd_231_05,155.0,0.2,"{""Answer"": ""155"", ""Confidence"": ""0.2""}",,231.jpg,5,145.0,R_15tPwJSeCqh1545
wgd_232_10,155.0,0.4,"{""Answer"": ""155"", ""Confidence"": ""0.4""}",,232.jpg,10,190.0,R_15tPwJSeCqh1545
wgd_234_20,130.0,0.7,"{""Answer"": ""130"", ""Confidence"": ""0.7""}",,234.jpg,20,138.0,R_15tPwJSeCqh1545
wgd_235_01,135.0,0.05,"{""Answer"": ""135"", ""Confidence"": ""0.05""}",,235.jpg,1,134.0,R_15tPwJSeCqh1545
wgd_239_01,145.0,0.05,"{""Answer"": ""145"", ""Confidence"": ""0.05""}",,239.jpg,1,117.0,R_15tPwJSeCqh1545
wgd_246_01,130.0,0.05,"{""Answer"": ""130"", ""Confidence"": ""0.05""}",,246.jpg,1,117.0,R_15tPwJSeCqh1545
wgd_247_05,150.0,0.25,"{""Answer"": ""150"", ""Confidence"": ""0.25""}",,247.jpg,5,157.0,R_15tPwJSeCqh1545
wgd_249_10,120.0,0.55,"{""Answer"": ""120"", ""Confidence"": ""0.55""}",,249.jpg,10,138.0,R_15tPwJSeCqh1545
wgd_203_20,120.0,0.18,"{""Answer"": ""120"", ""Confidence"": ""0.18""}",,203.jpg,20,128.0,R_1ZqEOhrBbwheEtb
wgd_206_05,150.0,0.18,"{""Answer"": ""150"", ""Confidence"": ""0.18""}",,206.jpg,5,165.0,R_1ZqEOhrBbwheEtb
wgd_208_01,130.0,0.19,"{""Answer"": ""130"", ""Confidence"": ""0.19""}",,208.jpg,1,139.0,R_1ZqEOhrBbwheEtb
wgd_209_01,130.0,0.17,"{""Answer"": ""130"", ""Confidence"": ""0.17""}",,209.jpg,1,136.0,R_1ZqEOhrBbwheEtb
wgd_211_01,150.0,0.18,"{""Answer"": ""150"", ""Confidence"": ""0.18""}",,211.jpg,1,146.0,R_1ZqEOhrBbwheEtb
wgd_217_20,115.0,0.2,"{""Answer"": ""115"", ""Confidence"": ""0.2""}",,217.jpg,20,116.0,R_1ZqEOhrBbwheEtb
wgd_221_10,125.0,0.16,"{""Answer"": ""125"", ""Confidence"": ""0.16""}",,221.jpg,10,112.0,R_1ZqEOhrBbwheEtb
wgd_225_05,100.0,0.3,"{""Answer"": ""100"", ""Confidence"": ""0.3""}",,225.jpg,5,121.0,R_1ZqEOhrBbwheEtb
wgd_229_10,125.0,0.21,"{""Answer"": ""125"", ""Confidence"": ""0.21""}",,229.jpg,10,127.0,R_1ZqEOhrBbwheEtb
wgd_230_20,115.0,0.19,"{""Answer"": ""115"", ""Confidence"": ""0.19""}",,230.jpg,20,105.0,R_1ZqEOhrBbwheEtb
wgd_233_05,170.0,0.18,"{""Answer"": ""170"", ""Confidence"": ""0.18""}",,233.jpg,5,180.0,R_1ZqEOhrBbwheEtb
wgd_237_20,135.0,0.17,"{""Answer"": ""135"", ""Confidence"": ""0.17""}",,237.jpg,20,170.0,R_1ZqEOhrBbwheEtb
wgd_238_10,140.0,0.18,"{""Answer"": ""140"", ""Confidence"": ""0.18""}",,238.jpg,10,181.0,R_1ZqEOhrBbwheEtb
wgd_239_05,115.0,0.33,"{""Answer"": ""115"", ""Confidence"": ""0.33""}",,239.jpg,5,117.0,R_1ZqEOhrBbwheEtb
wgd_242_20,145.0,0.16,"{""Answer"": ""145"", ""Confidence"": ""0.16""}",,242.jpg,20,171.0,R_1ZqEOhrBbwheEtb
wgd_244_10,145.0,0.19,"{""Answer"": ""145"", ""Confidence"": ""0.19""}",,244.jpg,10,161.0,R_1ZqEOhrBbwheEtb
wgd_246_01,120.0,0.18,"{""Answer"": ""120"", ""Confidence"": ""0.18""}",,246.jpg,1,117.0,R_1ZqEOhrBbwheEtb
wgd_247_10,130.0,0.25,"{""Answer"": ""130"", ""Confidence"": ""0.25""}",,247.jpg,10,157.0,R_1ZqEOhrBbwheEtb
wgd_248_01,120.0,0.17,"{""Answer"": ""120"", ""Confidence"": ""0.17""}",,248.jpg,1,121.0,R_1ZqEOhrBbwheEtb
wgd_250_05,140.0,0.17,"{""Answer"": ""140"", ""Confidence"": ""0.17""}",,250.jpg,5,171.0,R_1ZqEOhrBbwheEtb
wgd_203_20,120.0,0.85,"{""Answer"": ""120"", ""Confidence"": ""0.85""}",,203.jpg,20,128.0,R_1QfgeX0LFn5KBsI
wgd_205_01,110.0,0.0,"{""Answer"": ""110"", ""Confidence"": ""0.0""}",,205.jpg,1,104.0,R_1QfgeX0LFn5KBsI
wgd_208_20,130.0,0.75,"{""Answer"": ""130"", ""Confidence"": ""0.75""}",,208.jpg,20,139.0,R_1QfgeX0LFn5KBsI
wgd_209_10,125.0,0.4,"{""Answer"": ""125"", ""Confidence"": ""0.4""}",,209.jpg,10,136.0,R_1QfgeX0LFn5KBsI
wgd_212_05,125.0,0.15,"{""Answer"": ""125"", ""Confidence"": ""0.15""}",,212.jpg,5,147.0,R_1QfgeX0LFn5KBsI
wgd_213_20,175.0,0.8,"{""Answer"": ""175"", ""Confidence"": ""0.8""}",,213.jpg,20,174.0,R_1QfgeX0LFn5KBsI
wgd_215_05,135.0,0.2,"{""Answer"": ""135"", ""Confidence"": ""0.2""}",,215.jpg,5,154.0,R_1QfgeX0LFn5KBsI
wgd_217_01,115.0,0.0,"{""Answer"": ""115"", ""Confidence"": ""0.0""}",,217.jpg,1,116.0,R_1QfgeX0LFn5KBsI
wgd_220_20,160.0,0.8,"{""Answer"": ""160"", ""Confidence"": ""0.8""}",,220.jpg,20,149.0,R_1QfgeX0LFn5KBsI
wgd_223_05,175.0,0.35,"{""Answer"": ""175"", ""Confidence"": ""0.35""}",,223.jpg,5,183.0,R_1QfgeX0LFn5KBsI
wgd_225_05,115.0,0.3,"{""Answer"": ""115"", ""Confidence"": ""0.3""}",,225.jpg,5,121.0,R_1QfgeX0LFn5KBsI
wgd_227_01,165.0,0.0,"{""Answer"": ""165"", ""Confidence"": ""0.0""}",,227.jpg,1,180.0,R_1QfgeX0LFn5KBsI
wgd_229_10,110.0,0.6,"{""Answer"": ""110"", ""Confidence"": ""0.6""}",,229.jpg,10,127.0,R_1QfgeX0LFn5KBsI
wgd_233_01,180.0,0.0,"{""Answer"": ""180"", ""Confidence"": ""0.0""}",,233.jpg,1,180.0,R_1QfgeX0LFn5KBsI
wgd_234_10,130.0,0.55,"{""Answer"": ""130"", ""Confidence"": ""0.55""}",,234.jpg,10,138.0,R_1QfgeX0LFn5KBsI
wgd_236_01,125.0,0.0,"{""Answer"": ""125"", ""Confidence"": ""0.0""}",,236.jpg,1,117.0,R_1QfgeX0LFn5KBsI
wgd_238_05,165.0,0.2,"{""Answer"": ""165"", ""Confidence"": ""0.2""}",,238.jpg,5,181.0,R_1QfgeX0LFn5KBsI
wgd_243_20,150.0,0.7,"{""Answer"": ""150"", ""Confidence"": ""0.7""}",,243.jpg,20,157.0,R_1QfgeX0LFn5KBsI
wgd_244_10,155.0,0.55,"{""Answer"": ""155"", ""Confidence"": ""0.55""}",,244.jpg,10,161.0,R_1QfgeX0LFn5KBsI
wgd_247_10,120.0,0.55,"{""Answer"": ""120"", ""Confidence"": ""0.55""}",,247.jpg,10,157.0,R_1QfgeX0LFn5KBsI
wgd_200_05,180.0,0.29,"{""Answer"": ""180"", ""Confidence"": ""0.29""}",,200.jpg,5,214.0,R_1GWvplV4rNvIFcF
wgd_203_01,120.0,0.5,"{""Answer"": ""120"", ""Confidence"": ""0.5""}",,203.jpg,1,128.0,R_1GWvplV4rNvIFcF
wgd_205_05,120.0,0.29,"{""Answer"": ""120"", ""Confidence"": ""0.29""}",,205.jpg,5,104.0,R_1GWvplV4rNvIFcF
wgd_210_01,155.0,0.03,"{""Answer"": ""155"", ""Confidence"": ""0.03""}",,210.jpg,1,167.0,R_1GWvplV4rNvIFcF
