question_id,Answer,Confidence,raw,error,true_lifespan_x,min_age_x,sex_x,radius_x,best_answer_x,MAS_x,true_lifespan_y,min_age_y,sex_y,radius_y,best_answer_y,MAS_y
73,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.25,3.0,male,14.0,79.92,0.728918,75.25,3,male,14,79.92,0.728918
74,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.25,3.0,male,15.0,79.53,0.759526,75.25,3,male,15,79.53,0.759526
75,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.25,3.0,male,16.0,79.12,0.787272,75.25,3,male,16,79.12,0.787272
76,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.25,3.0,male,17.0,78.69,0.812314,75.25,3,male,17,78.69,0.812314
77,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.25,3.0,male,18.0,78.25,0.834821,75.25,3,male,18,78.25,0.834821
78,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.25,3.0,male,19.0,77.78,0.854972,75.25,3,male,19,77.78,0.854972
79,75.0,0.85,"{""Answer"": ""75"", ""Confidence"": ""0.85""}",,75.25,3.0,male,20.0,77.3,0.872948,75.25,3,male,20,77.3,0.872948
80,75.0,0.25,"{""Answer"": ""75"", ""Confidence"": ""0.25""}",,75.27,4.0,male,1.0,82.65,0.064833,75.27,4,male,1,82.65,0.064833
81,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.27,4.0,male,2.0,82.6,0.129166,75.27,4,male,2,82.6,0.129166
82,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.27,4.0,male,3.0,82.53,0.192511,75.27,4,male,3,82.53,0.192511
83,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.27,4.0,male,4.0,82.43,0.254409,75.27,4,male,4,82.43,0.254409
84,74.0,0.8,"{""Answer"": ""74"", ""Confidence"": ""0.8""}",,75.27,4.0,male,5.0,82.3,0.31444,75.27,4,male,5,82.3,0.31444
85,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.27,4.0,male,6.0,82.14,0.372233,75.27,4,male,6,82.14,0.372233
86,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.27,4.0,male,7.0,81.95,0.427474,75.27,4,male,7,81.95,0.427474
87,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.27,4.0,male,8.0,81.74,0.479907,75.27,4,male,8,81.74,0.479907
88,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.27,4.0,male,9.0,81.5,0.529342,75.27,4,male,9,81.5,0.529342
89,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.27,4.0,male,10.0,81.23,0.57565,75.27,4,male,10,81.23,0.57565
90,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.27,4.0,male,11.0,80.94,0.61876,75.27,4,male,11,80.94,0.61876
91,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.27,4.0,male,12.0,80.62,0.658655,75.27,4,male,12,80.62,0.658655
92,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.27,4.0,male,13.0,80.28,0.69537,75.27,4,male,13,80.28,0.69537
93,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.27,4.0,male,14.0,79.92,0.728978,75.27,4,male,14,79.92,0.728978
95,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.27,4.0,male,16.0,79.12,0.787337,75.27,4,male,16,79.12,0.787337
96,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.27,4.0,male,17.0,78.69,0.812381,75.27,4,male,17,78.69,0.812381
97,74.0,0.68,"{""Answer"": ""74"", ""Confidence"": ""0.68""}",,75.27,4.0,male,18.0,78.25,0.834889,75.27,4,male,18,78.25,0.834889
98,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.27,4.0,male,19.0,77.78,0.855042,75.27,4,male,19,77.78,0.855042
99,74.0,0.83,"{""Answer"": ""74"", ""Confidence"": ""0.83""}",,75.27,4.0,male,20.0,77.3,0.87302,75.27,4,male,20,77.3,0.87302
100,74.2,0.0,"{""Answer"": ""74.2"", ""Confidence"": ""0.0""}",,75.29,5.0,male,1.0,82.65,0.064839,75.29,5,male,1,82.65,0.064839
101,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.29,5.0,male,2.0,82.6,0.129177,75.29,5,male,2,82.6,0.129177
102,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.29,5.0,male,3.0,82.53,0.192528,75.29,5,male,3,82.53,0.192528
103,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.29,5.0,male,4.0,82.43,0.254432,75.29,5,male,4,82.43,0.254432
104,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.29,5.0,male,5.0,82.3,0.314468,75.29,5,male,5,82.3,0.314468
105,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.29,5.0,male,6.0,82.14,0.372267,75.29,5,male,6,82.14,0.372267
106,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.29,5.0,male,7.0,81.95,0.427512,75.29,5,male,7,81.95,0.427512
107,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.29,5.0,male,8.0,81.74,0.47995,75.29,5,male,8,81.74,0.47995
108,74.0,0.68,"{""Answer"": ""74"", ""Confidence"": ""0.68""}",,75.29,5.0,male,9.0,81.5,0.52939,75.29,5,male,9,81.5,0.52939
109,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.29,5.0,male,10.0,81.23,0.575702,75.29,5,male,10,81.23,0.575702
110,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.29,5.0,male,11.0,80.94,0.618815,75.29,5,male,11,80.94,0.618815
111,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.29,5.0,male,12.0,80.62,0.658714,75.29,5,male,12,80.62,0.658714
112,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.29,5.0,male,13.0,80.28,0.695432,75.29,5,male,13,80.28,0.695432
113,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.29,5.0,male,14.0,79.92,0.729043,75.29,5,male,14,79.92,0.729043
114,74.0,0.75,"{""Answer"": ""74"", ""Confidence"": ""0.75""}",,75.29,5.0,male,15.0,79.53,0.759656,75.29,5,male,15,79.53,0.759656
115,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.29,5.0,male,16.0,79.12,0.787408,75.29,5,male,16,79.12,0.787408
116,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.29,5.0,male,17.0,78.69,0.812453,75.29,5,male,17,78.69,0.812453
117,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.29,5.0,male,18.0,78.25,0.834964,75.29,5,male,18,78.25,0.834964
118,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.29,5.0,male,19.0,77.78,0.855119,75.29,5,male,19,77.78,0.855119
119,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.29,5.0,male,20.0,77.3,0.873099,75.29,5,male,20,77.3,0.873099
120,73.45,0.95,"{""Answer"": ""73.45"", ""Confidence"": ""0.95""}",,75.3,6.0,male,1.0,82.65,0.064845,75.3,6,male,1,82.65,0.064845
121,74.0,0.87,"{""Answer"": ""74"", ""Confidence"": ""0.87""}",,75.3,6.0,male,2.0,82.6,0.12919,75.3,6,male,2,82.6,0.12919
122,73.4,0.95,"{""Answer"": ""73.4"", ""Confidence"": ""0.95""}",,75.3,6.0,male,3.0,82.53,0.192547,75.3,6,male,3,82.53,0.192547
123,74.0,0.75,"{""Answer"": ""74"", ""Confidence"": ""0.75""}",,75.3,6.0,male,4.0,82.43,0.254457,75.3,6,male,4,82.43,0.254457
124,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.3,6.0,male,5.0,82.3,0.314499,75.3,6,male,5,82.3,0.314499
125,74.2,0.95,"{""Answer"": ""74.2"", ""Confidence"": ""0.95""}",,75.3,6.0,male,6.0,82.14,0.372303,75.3,6,male,6,82.14,0.372303
126,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.3,6.0,male,7.0,81.95,0.427554,75.3,6,male,7,81.95,0.427554
127,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.3,6.0,male,8.0,81.74,0.479997,75.3,6,male,8,81.74,0.479997
128,74.0,0.89,"{""Answer"": ""74"", ""Confidence"": ""0.89""}",,75.3,6.0,male,9.0,81.5,0.529442,75.3,6,male,9,81.5,0.529442
129,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.3,6.0,male,10.0,81.23,0.575758,75.3,6,male,10,81.23,0.575758
130,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.3,6.0,male,11.0,80.94,0.618876,75.3,6,male,11,80.94,0.618876
131,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.3,6.0,male,12.0,80.62,0.658779,75.3,6,male,12,80.62,0.658779
132,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.3,6.0,male,13.0,80.28,0.695501,75.3,6,male,13,80.28,0.695501
133,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.3,6.0,male,14.0,79.92,0.729115,75.3,6,male,14,79.92,0.729115
134,74.0,0.68,"{""Answer"": ""74"", ""Confidence"": ""0.68""}",,75.3,6.0,male,15.0,79.53,0.759731,75.3,6,male,15,79.53,0.759731
135,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.3,6.0,male,16.0,79.12,0.787485,75.3,6,male,16,79.12,0.787485
136,73.0,0.95,"{""Answer"": ""73"", ""Confidence"": ""0.95""}",,75.3,6.0,male,17.0,78.69,0.812533,75.3,6,male,17,78.69,0.812533
137,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.3,6.0,male,18.0,78.25,0.835046,75.3,6,male,18,78.25,0.835046
138,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.3,6.0,male,19.0,77.78,0.855203,75.3,6,male,19,77.78,0.855203
139,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.3,6.0,male,20.0,77.3,0.873184,75.3,6,male,20,77.3,0.873184
140,74.23,0.0,"{""Answer"": ""74.23"", ""Confidence"": ""0.0""}",,75.31,7.0,male,1.0,82.65,0.064852,75.31,7,male,1,82.65,0.064852
141,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.31,7.0,male,2.0,82.6,0.129204,75.31,7,male,2,82.6,0.129204
142,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.31,7.0,male,3.0,82.53,0.192567,75.31,7,male,3,82.53,0.192567
143,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.31,7.0,male,4.0,82.43,0.254484,75.31,7,male,4,82.43,0.254484
144,72.0,0.95,"{""Answer"": ""72"", ""Confidence"": ""0.95""}",,75.31,7.0,male,5.0,82.3,0.314533,75.31,7,male,5,82.3,0.314533
145,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.31,7.0,male,6.0,82.14,0.372343,75.31,7,male,6,82.14,0.372343
146,72.0,0.95,"{""Answer"": ""72"", ""Confidence"": ""0.95""}",,75.31,7.0,male,7.0,81.95,0.4276,75.31,7,male,7,81.95,0.4276
147,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.31,7.0,male,8.0,81.74,0.480049,75.31,7,male,8,81.74,0.480049
148,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.31,7.0,male,9.0,81.5,0.529499,75.31,7,male,9,81.5,0.529499
149,74.0,0.75,"{""Answer"": ""74"", ""Confidence"": ""0.75""}",,75.31,7.0,male,10.0,81.23,0.57582,75.31,7,male,10,81.23,0.57582
150,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.31,7.0,male,11.0,80.94,0.618942,75.31,7,male,11,80.94,0.618942
151,72.0,0.95,"{""Answer"": ""72"", ""Confidence"": ""0.95""}",,75.31,7.0,male,12.0,80.62,0.65885,75.31,7,male,12,80.62,0.65885
152,75.0,0.75,"{""Answer"": ""75"", ""Confidence"": ""0.75""}",,75.31,7.0,male,13.0,80.28,0.695575,75.31,7,male,13,80.28,0.695575
153,76.0,0.95,"{""Answer"": ""76"", ""Confidence"": ""0.95""}",,75.31,7.0,male,14.0,79.92,0.729193,75.31,7,male,14,79.92,0.729193
154,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.31,7.0,male,15.0,79.53,0.759812,75.31,7,male,15,79.53,0.759812
155,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.31,7.0,male,16.0,79.12,0.787569,75.31,7,male,16,79.12,0.787569
156,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.31,7.0,male,17.0,78.69,0.81262,75.31,7,male,17,78.69,0.81262
157,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.31,7.0,male,18.0,78.25,0.835136,75.31,7,male,18,78.25,0.835136
158,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.31,7.0,male,19.0,77.78,0.855294,75.31,7,male,19,77.78,0.855294
159,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.31,7.0,male,20.0,77.3,0.873278,75.31,7,male,20,77.3,0.873278
160,74.0,0.05,"{""Answer"": ""74"", ""Confidence"": ""0.05""}",,75.32,8.0,male,1.0,82.65,0.06486,75.32,8,male,1,82.65,0.06486
161,74.0,0.64,"{""Answer"": ""74"", ""Confidence"": ""0.64""}",,75.32,8.0,male,2.0,82.6,0.129219,75.32,8,male,2,82.6,0.129219
162,71.0,0.95,"{""Answer"": ""71"", ""Confidence"": ""0.95""}",,75.32,8.0,male,3.0,82.53,0.19259,75.32,8,male,3,82.53,0.19259
163,68.0,0.95,"{""Answer"": ""68"", ""Confidence"": ""0.95""}",,75.32,8.0,male,4.0,82.43,0.254514,75.32,8,male,4,82.43,0.254514
164,73.0,0.95,"{""Answer"": ""73"", ""Confidence"": ""0.95""}",,75.32,8.0,male,5.0,82.3,0.314569,75.32,8,male,5,82.3,0.314569
165,69.0,0.95,"{""Answer"": ""69"", ""Confidence"": ""0.95""}",,75.32,8.0,male,6.0,82.14,0.372387,75.32,8,male,6,82.14,0.372387
166,72.0,0.95,"{""Answer"": ""72"", ""Confidence"": ""0.95""}",,75.32,8.0,male,7.0,81.95,0.42765,75.32,8,male,7,81.95,0.42765
167,72.0,0.95,"{""Answer"": ""72"", ""Confidence"": ""0.95""}",,75.32,8.0,male,8.0,81.74,0.480105,75.32,8,male,8,81.74,0.480105
168,72.0,0.95,"{""Answer"": ""72"", ""Confidence"": ""0.95""}",,75.32,8.0,male,9.0,81.5,0.529561,75.32,8,male,9,81.5,0.529561
