question_id,Answer,Confidence,raw,error,true_lifespan,min_age,sex,radius,best_answer,MAS
22,77.5,0.75,"{""Answer"": ""77.5"", ""Confidence"": ""0.75""}",,75.2,1,male,3,82.53,0.192467
23,77,0.8,"```json
{""Answer"": 77, ""Confidence"": 0.8}
```",,75.2,1,male,4,82.43,0.254351
24,76,0.7,"{""Answer"": ""76"", ""Confidence"": ""0.7""}",,75.2,1,male,5,82.3,0.314369
25,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,75.2,1,male,6,82.14,0.372149
26,77,0.85,"{""Answer"": 77, ""Confidence"": 0.85}",,75.2,1,male,7,81.95,0.427377
27,78,0.85,"{""Answer"": 78, ""Confidence"": 0.85}",,75.2,1,male,8,81.74,0.479799
28,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,75.2,1,male,9,81.5,0.529223
29,76,0.8,"{""Answer"": ""76"", ""Confidence"": ""0.8""}",,75.2,1,male,10,81.23,0.57552
30,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,75.2,1,male,11,80.94,0.618619
31,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.2,1,male,12,80.62,0.658506
32,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.2,1,male,13,80.28,0.695212
33,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,75.2,1,male,14,79.92,0.728813
34,76,0.85,"{""Answer"": ""76"", ""Confidence"": ""0.85""}",,75.2,1,male,15,79.53,0.759416
35,77,0.95,"{""Answer"": ""77"", ""Confidence"": ""0.95""}",,75.2,1,male,16,79.12,0.787159
36,77.5,0.95,"{""Answer"": ""77.5"", ""Confidence"": ""0.95""}",,75.2,1,male,17,78.69,0.812197
37,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,75.2,1,male,18,78.25,0.8347
38,76,0.95,"{""Answer"": ""76"", ""Confidence"": ""0.95""}",,75.2,1,male,19,77.78,0.854848
39,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,75.2,1,male,20,77.3,0.872823
40,78,0.1,"{""Answer"": ""78"", ""Confidence"": ""0.1""}",,75.23,2,male,1,82.65,0.064823
41,76,0.7,"{""Answer"": ""76"", ""Confidence"": ""0.7""}",,75.23,2,male,2,82.6,0.129145
42,76,0.7,"{""Answer"": ""76"", ""Confidence"": ""0.7""}",,75.23,2,male,3,82.53,0.19248
43,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.23,2,male,4,82.43,0.254369
44,76,0.85,"{""Answer"": ""76"", ""Confidence"": ""0.85""}",,75.23,2,male,5,82.3,0.31439
45,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.23,2,male,6,82.14,0.372175
46,76,0.8,"{""Answer"": ""76"", ""Confidence"": ""0.8""}",,75.23,2,male,7,81.95,0.427406
47,77,0.85,"{""Answer"": ""77"", ""Confidence"": ""0.85""}",,75.23,2,male,8,81.74,0.479832
48,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,75.23,2,male,9,81.5,0.529259
49,76,0.8,"{""Answer"": ""76"", ""Confidence"": ""0.8""}",,75.23,2,male,10,81.23,0.575559
50,76,0.85,"{""Answer"": ""76"", ""Confidence"": ""0.85""}",,75.23,2,male,11,80.94,0.618662
51,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,75.23,2,male,12,80.62,0.658552
52,76,0.95,"{""Answer"": 76, ""Confidence"": 0.95}",,75.23,2,male,13,80.28,0.69526
53,76,0.95,"{""Answer"": ""76"", ""Confidence"": ""0.95""}",,75.23,2,male,14,79.92,0.728863
54,76,0.85,"{""Answer"": ""76"", ""Confidence"": ""0.85""}",,75.23,2,male,15,79.53,0.759469
55,76,0.95,"{""Answer"": ""76"", ""Confidence"": ""0.95""}",,75.23,2,male,16,79.12,0.787213
56,76,0.95,"{""Answer"": ""76"", ""Confidence"": ""0.95""}",,75.23,2,male,17,78.69,0.812253
57,76,0.95,"{""Answer"": ""76"", ""Confidence"": ""0.95""}",,75.23,2,male,18,78.25,0.834758
58,76,0.95,"{""Answer"": ""76"", ""Confidence"": ""0.95""}",,75.23,2,male,19,77.78,0.854907
59,76,0.85,"{""Answer"": ""76"", ""Confidence"": ""0.85""}",,75.23,2,male,20,77.3,0.872883
60,76.4,0.85,"{""Answer"": ""76.4"", ""Confidence"": ""0.85""}",,75.25,3,male,1,82.65,0.064828
61,76,0.85,"{""Answer"": ""76"", ""Confidence"": ""0.85""}",,75.25,3,male,2,82.6,0.129155
62,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,75.25,3,male,3,82.53,0.192495
63,77,0.75,"{""Answer"": ""77"", ""Confidence"": ""0.75""}",,75.25,3,male,4,82.43,0.254388
64,76,0.7,"{""Answer"": ""76"", ""Confidence"": ""0.7""}",,75.25,3,male,5,82.3,0.314414
65,76,0.8,"{""Answer"": 76, ""Confidence"": 0.8}",,75.25,3,male,6,82.14,0.372203
66,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.25,3,male,7,81.95,0.427438
67,76,0.85,"{""Answer"": ""76"", ""Confidence"": ""0.85""}",,75.25,3,male,8,81.74,0.479868
68,76,0.8,"{""Answer"": ""76"", ""Confidence"": ""0.8""}",,75.25,3,male,9,81.5,0.529299
69,76,0.8,"{""Answer"": 76, ""Confidence"": 0.8}",,75.25,3,male,10,81.23,0.575603
70,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.25,3,male,11,80.94,0.618709
71,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.25,3,male,12,80.62,0.658601
72,78,0.9,"{""Answer"": ""78"", ""Confidence"": ""0.9""}",,75.25,3,male,13,80.28,0.695313
73,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.25,3,male,14,79.92,0.728918
74,77,0.85,"{""Answer"": ""77"", ""Confidence"": ""0.85""}",,75.25,3,male,15,79.53,0.759526
75,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,75.25,3,male,16,79.12,0.787272
76,77,0.9,"{""Answer"": ""77"", ""Confidence"": ""0.9""}",,75.25,3,male,17,78.69,0.812314
77,76,0.95,"{""Answer"": ""76"", ""Confidence"": ""0.95""}",,75.25,3,male,18,78.25,0.834821
78,76,0.95,"{""Answer"": 76, ""Confidence"": 0.95}",,75.25,3,male,19,77.78,0.854972
79,76,0.9,"{""Answer"": 76, ""Confidence"": 0.9}",,75.25,3,male,20,77.3,0.872948
80,76,0.7,"{""Answer"": ""76"", ""Confidence"": ""0.7""}",,75.27,4,male,1,82.65,0.064833
81,77,0.75,"{""Answer"": ""77"", ""Confidence"": ""0.75""}",,75.27,4,male,2,82.6,0.129166
82,77,0.85,"```json
{""Answer"": ""77"", ""Confidence"": ""0.85""}
```",,75.27,4,male,3,82.53,0.192511
83,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,75.27,4,male,4,82.43,0.254409
84,77,0.7,"{""Answer"": ""77"", ""Confidence"": ""0.7""}",,75.27,4,male,5,82.3,0.31444
85,77,0.75,"{""Answer"": ""77"", ""Confidence"": ""0.75""}",,75.27,4,male,6,82.14,0.372233
86,77,0.8,"```json
{""Answer"": 77, ""Confidence"": 0.8}
```",,75.27,4,male,7,81.95,0.427474
87,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.27,4,male,8,81.74,0.479907
88,77,0.9,"{""Answer"": ""77"", ""Confidence"": ""0.9""}",,75.27,4,male,9,81.5,0.529342
89,77,0.85,"{""Answer"": 77, ""Confidence"": 0.85}",,75.27,4,male,10,81.23,0.57565
90,78,0.85,"{""Answer"": ""78"", ""Confidence"": ""0.85""}",,75.27,4,male,11,80.94,0.61876
91,77,0.9,"{""Answer"": ""77"", ""Confidence"": ""0.9""}",,75.27,4,male,12,80.62,0.658655
92,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,75.27,4,male,13,80.28,0.69537
93,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.27,4,male,14,79.92,0.728978
94,77.5,0.85,"{""Answer"": ""77.5"", ""Confidence"": ""0.85""}",,75.27,4,male,15,79.53,0.759588
95,76,0.85,"{""Answer"": ""76"", ""Confidence"": ""0.85""}",,75.27,4,male,16,79.12,0.787337
96,77.5,0.9,"{""Answer"": ""77.5"", ""Confidence"": ""0.9""}",,75.27,4,male,17,78.69,0.812381
97,76,0.95,"{""Answer"": ""76"", ""Confidence"": ""0.95""}",,75.27,4,male,18,78.25,0.834889
98,77,0.95,"{""Answer"": ""77"", ""Confidence"": ""0.95""}",,75.27,4,male,19,77.78,0.855042
99,78,0.9,"{""Answer"": ""78"", ""Confidence"": ""0.9""}",,75.27,4,male,20,77.3,0.87302
100,76,0.2,"{""Answer"": ""76"", ""Confidence"": ""0.2""}",,75.29,5,male,1,82.65,0.064839
101,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.29,5,male,2,82.6,0.129177
102,78,0.7,"{""Answer"": ""78"", ""Confidence"": ""0.7""}",,75.29,5,male,3,82.53,0.192528
103,78,0.75,"{""Answer"": ""78"", ""Confidence"": ""0.75""}",,75.29,5,male,4,82.43,0.254432
104,78,0.7,"{""Answer"": ""78"", ""Confidence"": ""0.7""}",,75.29,5,male,5,82.3,0.314468
105,78,0.8,"{""Answer"": 78, ""Confidence"": 0.8}",,75.29,5,male,6,82.14,0.372267
106,77,0.75,"{""Answer"": ""77"", ""Confidence"": ""0.75""}",,75.29,5,male,7,81.95,0.427512
107,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.29,5,male,8,81.74,0.47995
108,77,0.85,"{""Answer"": ""77"", ""Confidence"": ""0.85""}",,75.29,5,male,9,81.5,0.52939
109,76,0.7,"{""Answer"": ""76"", ""Confidence"": ""0.7""}",,75.29,5,male,10,81.23,0.575702
110,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,75.29,5,male,11,80.94,0.618815
111,76,0.7,"{""Answer"": ""76"", ""Confidence"": ""0.7""}",,75.29,5,male,12,80.62,0.658714
112,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.29,5,male,13,80.28,0.695432
113,78,0.85,"{""Answer"": 78, ""Confidence"": 0.85}",,75.29,5,male,14,79.92,0.729043
114,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.90""}",,75.29,5,male,15,79.53,0.759656
115,78,0.75,"{""Answer"": ""78"", ""Confidence"": ""0.75""}",,75.29,5,male,16,79.12,0.787408
116,77,0.9,"{""Answer"": ""77"", ""Confidence"": ""0.9""}",,75.29,5,male,17,78.69,0.812453
117,78,0.85,"```json
{""Answer"": ""78"", ""Confidence"": ""0.85""}
```",,75.29,5,male,18,78.25,0.834964
118,77,0.9,"{""Answer"": ""77"", ""Confidence"": ""0.9""}",,75.29,5,male,19,77.78,0.855119
119,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,75.29,5,male,20,77.3,0.873099
120,76,0.1,"{""Answer"": ""76"", ""Confidence"": ""0.1""}",,75.3,6,male,1,82.65,0.064845
121,76,0.7,"{""Answer"": ""76"", ""Confidence"": ""0.7""}",,75.3,6,male,2,82.6,0.12919
122,78,0.8,"{""Answer"": 78, ""Confidence"": 0.8}",,75.3,6,male,3,82.53,0.192547
123,76,0.7,"{""Answer"": ""76"", ""Confidence"": ""0.7""}",,75.3,6,male,4,82.43,0.254457
124,77,0.75,"{""Answer"": ""77"", ""Confidence"": ""0.75""}",,75.3,6,male,5,82.3,0.314499
125,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.3,6,male,6,82.14,0.372303
126,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.3,6,male,7,81.95,0.427554
127,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.3,6,male,8,81.74,0.479997
128,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.3,6,male,9,81.5,0.529442
129,78,0.8,"{""Answer"": 78, ""Confidence"": 0.8}",,75.3,6,male,10,81.23,0.575758
130,78,0.75,"{""Answer"": ""78"", ""Confidence"": ""0.75""}",,75.3,6,male,11,80.94,0.618876
131,78,0.9,"{""Answer"": ""78"", ""Confidence"": ""0.9""}",,75.3,6,male,12,80.62,0.658779
132,76,0.8,"{""Answer"": 76, ""Confidence"": 0.8}",,75.3,6,male,13,80.28,0.695501
133,78,0.75,"{""Answer"": ""78"", ""Confidence"": ""0.75""}",,75.3,6,male,14,79.92,0.729115
134,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.3,6,male,15,79.53,0.759731
135,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.3,6,male,16,79.12,0.787485
136,76,0.8,"{""Answer"": 76, ""Confidence"": 0.8}",,75.3,6,male,17,78.69,0.812533
137,78,0.9,"{""Answer"": ""78"", ""Confidence"": ""0.9""}",,75.3,6,male,18,78.25,0.835046
138,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.3,6,male,19,77.78,0.855203
139,79,0.85,"{""Answer"": ""79"", ""Confidence"": ""0.85""}",,75.3,6,male,20,77.3,0.873184
140,78,0.65,"```json
{""Answer"": 78, ""Confidence"": 0.65}
```",,75.31,7,male,1,82.65,0.064852
141,77,0.8,"{""Answer"": 77, ""Confidence"": 0.8}",,75.31,7,male,2,82.6,0.129204
142,77,0.75,"{""Answer"": ""77"", ""Confidence"": ""0.75""}",,75.31,7,male,3,82.53,0.192567
143,76,0.8,"{""Answer"": ""76"", ""Confidence"": ""0.8""}",,75.31,7,male,4,82.43,0.254484
144,77,0.7,"{""Answer"": ""77"", ""Confidence"": ""0.7""}",,75.31,7,male,5,82.3,0.314533
145,77,0.85,"{""Answer"": ""77"", ""Confidence"": ""0.85""}",,75.31,7,male,6,82.14,0.372343
146,77,0.75,"{""Answer"": ""77"", ""Confidence"": ""0.75""}",,75.31,7,male,7,81.95,0.4276
147,76.4,0.85,"{""Answer"": ""76.4"", ""Confidence"": ""0.85""}",,75.31,7,male,8,81.74,0.480049
148,77,0.9,"{""Answer"": ""77"", ""Confidence"": ""0.9""}",,75.31,7,male,9,81.5,0.529499
149,77,0.9,"{""Answer"": ""77"", ""Confidence"": ""0.9""}",,75.31,7,male,10,81.23,0.57582
150,77,0.85,"{""Answer"": ""77"", ""Confidence"": ""0.85""}",,75.31,7,male,11,80.94,0.618942
151,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.31,7,male,12,80.62,0.65885
152,76,0.85,"{""Answer"": ""76"", ""Confidence"": ""0.85""}",,75.31,7,male,13,80.28,0.695575
153,77.5,0.85,"{""Answer"": ""77.5"", ""Confidence"": ""0.85""}",,75.31,7,male,14,79.92,0.729193
154,78,0.85,"{""Answer"": ""78"", ""Confidence"": ""0.85""}",,75.31,7,male,15,79.53,0.759812
155,78,0.9,"{""Answer"": ""78"", ""Confidence"": ""0.9""}",,75.31,7,male,16,79.12,0.787569
156,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.31,7,male,17,78.69,0.81262
157,78,0.85,"```json
{""Answer"": 78, ""Confidence"": 0.85}
```",,75.31,7,male,18,78.25,0.835136
158,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,75.31,7,male,19,77.78,0.855294
159,78,0.9,"{""Answer"": ""78"", ""Confidence"": ""0.9""}",,75.31,7,male,20,77.3,0.873278
160,77,0.75,"{""Answer"": ""77"", ""Confidence"": ""0.75""}",,75.32,8,male,1,82.65,0.06486
161,78,0.7,"{""Answer"": ""78"", ""Confidence"": ""0.7""}",,75.32,8,male,2,82.6,0.129219
162,78,0.7,"{""Answer"": ""78"", ""Confidence"": ""0.7""}",,75.32,8,male,3,82.53,0.19259
163,78,0.75,"{""Answer"": ""78"", ""Confidence"": ""0.75""}",,75.32,8,male,4,82.43,0.254514
164,78,0.75,"{""Answer"": ""78"", ""Confidence"": ""0.75""}",,75.32,8,male,5,82.3,0.314569
165,78,0.7,"{""Answer"": ""78"", ""Confidence"": ""0.7""}",,75.32,8,male,6,82.14,0.372387
166,78,0.75,"{""Answer"": ""78"", ""Confidence"": ""0.75""}",,75.32,8,male,7,81.95,0.42765
167,78,0.75,"{""Answer"": ""78"", ""Confidence"": ""0.75""}",,75.32,8,male,8,81.74,0.480105
168,78,0.75,"{""Answer"": ""78"", ""Confidence"": ""0.75""}",,75.32,8,male,9,81.5,0.529561
169,78,0.7,"{""Answer"": ""78"", ""Confidence"": ""0.7""}",,75.32,8,male,10,81.23,0.575887
170,78,0.7,"{""Answer"": ""78"", ""Confidence"": ""0.7""}",,75.32,8,male,11,80.94,0.619014
171,78,0.75,"{""Answer"": ""78"", ""Confidence"": ""0.75""}",,75.32,8,male,12,80.62,0.658927
172,78,0.9,"{""Answer"": ""78"", ""Confidence"": ""0.9""}",,75.32,8,male,13,80.28,0.695656
173,78,0.75,"{""Answer"": ""78"", ""Confidence"": ""0.75""}",,75.32,8,male,14,79.92,0.729278
174,78,0.75,"{""Answer"": ""78"", ""Confidence"": ""0.75""}",,75.32,8,male,15,79.53,0.759901
175,78,0.85,"{""Answer"": ""78"", ""Confidence"": ""0.85""}",,75.32,8,male,16,79.12,0.787661
176,78,0.75,"{""Answer"": ""78"", ""Confidence"": ""0.75""}",,75.32,8,male,17,78.69,0.812715
177,78,0.7,"{""Answer"": ""78"", ""Confidence"": ""0.7""}",,75.32,8,male,18,78.25,0.835233
178,78,0.9,"{""Answer"": ""78"", ""Confidence"": ""0.9""}",,75.32,8,male,19,77.78,0.855394
179,78,0.7,"```json
{""Answer"": ""78"", ""Confidence"": ""0.7""}
```",,75.32,8,male,20,77.3,0.87338
180,76,0.5,"{""Answer"": ""76"", ""Confidence"": ""0.5""}",,75.32,9,male,1,82.65,0.064868
181,77.5,0.75,"{""Answer"": ""77.5"", ""Confidence"": ""0.75""}",,75.32,9,male,2,82.6,0.129235
182,76,0.7,"{""Answer"": ""76"", ""Confidence"": ""0.7""}",,75.32,9,male,3,82.53,0.192615
183,76,0.7,"{""Answer"": ""76"", ""Confidence"": ""0.7""}",,75.32,9,male,4,82.43,0.254546
184,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.32,9,male,5,82.3,0.31461
185,77,0.7,"{""Answer"": ""77"", ""Confidence"": ""0.7""}",,75.32,9,male,6,82.14,0.372434
186,77,0.75,"```json
{""Answer"": ""77"", ""Confidence"": ""0.75""}
```",,75.32,9,male,7,81.95,0.427704
187,76,0.7,"{""Answer"": ""76"", ""Confidence"": ""0.7""}",,75.32,9,male,8,81.74,0.480166
188,76.4,0.7,"{""Answer"": ""76.4"", ""Confidence"": ""0.7""}",,75.32,9,male,9,81.5,0.529628
189,78,0.8,"{""Answer"": ""78"", ""Confidence"": ""0.8""}",,75.32,9,male,10,81.23,0.575961
190,77,0.75,"{""Answer"": ""77"", ""Confidence"": ""0.75""}",,75.32,9,male,11,80.94,0.619094
191,78,0.9,"{""Answer"": ""78"", ""Confidence"": ""0.9""}",,75.32,9,male,12,80.62,0.659011
192,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.32,9,male,13,80.28,0.695745
193,77,0.75,"```json
{""Answer"": ""77"", ""Confidence"": ""0.75""}
```",,75.32,9,male,14,79.92,0.729371
194,76,0.85,"{""Answer"": ""76"", ""Confidence"": ""0.85""}",,75.32,9,male,15,79.53,0.759998
195,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,75.32,9,male,16,79.12,0.787762
196,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,75.32,9,male,17,78.69,0.812819
197,77,0.9,"{""Answer"": ""77"", ""Confidence"": ""0.9""}",,75.32,9,male,18,78.25,0.83534
198,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.32,9,male,19,77.78,0.855503
199,77.5,0.95,"{""Answer"": ""77.5"", ""Confidence"": ""0.95""}",,75.32,9,male,20,77.3,0.873491
200,76,0.05,"{""Answer"": ""76"", ""Confidence"": ""0.05""}",,75.33,10,male,1,82.65,0.064877
201,77,0.75,"{""Answer"": ""77"", ""Confidence"": ""0.75""}",,75.33,10,male,2,82.6,0.129253
202,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.33,10,male,3,82.53,0.192641
203,76,0.8,"{""Answer"": ""76"", ""Confidence"": ""0.80""}",,75.33,10,male,4,82.43,0.254582
204,78,0.8,"{""Answer"": 78, ""Confidence"": 0.8}",,75.33,10,male,5,82.3,0.314654
205,76,0.7,"{""Answer"": ""76"", ""Confidence"": ""0.7""}",,75.33,10,male,6,82.14,0.372486
206,76,0.7,"{""Answer"": ""76"", ""Confidence"": ""0.7""}",,75.33,10,male,7,81.95,0.427764
207,76,0.7,"{""Answer"": ""76"", ""Confidence"": ""0.7""}",,75.33,10,male,8,81.74,0.480233
208,76,0.7,"{""Answer"": ""76"", ""Confidence"": ""0.7""}",,75.33,10,male,9,81.5,0.529702
209,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.33,10,male,10,81.23,0.576041
210,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.33,10,male,11,80.94,0.61918
211,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.33,10,male,12,80.62,0.659103
212,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,75.33,10,male,13,80.28,0.695842
213,77.5,0.85,"{""Answer"": ""77.5"", ""Confidence"": ""0.85""}",,75.33,10,male,14,79.92,0.729473
214,76,0.8,"{""Answer"": 76, ""Confidence"": 0.8}",,75.33,10,male,15,79.53,0.760104
215,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.33,10,male,16,79.12,0.787872
216,77,0.75,"{""Answer"": ""77"", ""Confidence"": ""0.75""}",,75.33,10,male,17,78.69,0.812932
217,77,0.75,"{""Answer"": ""77"", ""Confidence"": ""0.75""}",,75.33,10,male,18,78.25,0.835457
218,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,75.33,10,male,19,77.78,0.855623
219,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,75.33,10,male,20,77.3,0.873613
220,75,0.7,"{""Answer"": ""75"", ""Confidence"": ""0.7""}",,75.34,11,male,1,82.65,0.064887
221,77,0.85,"{""Answer"": ""77"", ""Confidence"": ""0.85""}",,75.34,11,male,2,82.6,0.129273
222,76,0.7,"{""Answer"": ""76"", ""Confidence"": ""0.7""}",,75.34,11,male,3,82.53,0.192671
223,76,0.7,"{""Answer"": ""76"", ""Confidence"": ""0.7""}",,75.34,11,male,4,82.43,0.25462
224,76,0.85,"{""Answer"": ""76"", ""Confidence"": ""0.85""}",,75.34,11,male,5,82.3,0.314702
225,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,75.34,11,male,6,82.14,0.372543
226,78,0.9,"{""Answer"": ""78"", ""Confidence"": ""0.9""}",,75.34,11,male,7,81.95,0.427829
227,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,75.34,11,male,8,81.74,0.480306
228,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,75.34,11,male,9,81.5,0.529783
229,76,0.8,"{""Answer"": ""76"", ""Confidence"": ""0.8""}",,75.34,11,male,10,81.23,0.576129
230,78,0.85,"{""Answer"": ""78"", ""Confidence"": ""0.85""}",,75.34,11,male,11,80.94,0.619274
231,77,0.75,"{""Answer"": ""77"", ""Confidence"": ""0.75""}",,75.34,11,male,12,80.62,0.659203
232,76,0.7,"{""Answer"": ""76"", ""Confidence"": ""0.7""}",,75.34,11,male,13,80.28,0.695948
233,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,75.34,11,male,14,79.92,0.729584
234,78,0.85,"{""Answer"": ""78"", ""Confidence"": ""0.85""}",,75.34,11,male,15,79.53,0.76022
235,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,75.34,11,male,16,79.12,0.787992
236,76,0.85,"{""Answer"": ""76"", ""Confidence"": ""0.85""}",,75.34,11,male,17,78.69,0.813056
237,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,75.34,11,male,18,78.25,0.835584
238,76,0.95,"{""Answer"": 76, ""Confidence"": 0.95}",,75.34,11,male,19,77.78,0.855753
239,76,0.85,"{""Answer"": 76, ""Confidence"": 0.85}",,75.34,11,male,20,77.3,0.873746
240,76,0.05,"{""Answer"": 76, ""Confidence"": 0.05}",,75.35,12,male,1,82.65,0.064898
241,76,0.7,"{""Answer"": ""76"", ""Confidence"": ""0.7""}",,75.35,12,male,2,82.6,0.129295
242,75,0.7,"{""Answer"": ""75"", ""Confidence"": ""0.7""}",,75.35,12,male,3,82.53,0.192703
243,78,0.7,"```json
{""Answer"": ""78"", ""Confidence"": ""0.7""}
```",,75.35,12,male,4,82.43,0.254663
